,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Specialist Enchants,,,,,,,,,Protection,,,,,,Health,,,,,,Speed,,,,Armor Attribrutes,,,,,,,,,Weapon Base Stats,,,,,,Durability,,,,Melee Enchants,,,,,,,,,,,,,,Ranged Enchants,,,,,,,,,,,Tool Enchants,,,,,,,,,Water,,,,,,Misc.,,,,,,,,,,,,,Curses,,,,Epic Enchants,,,,,Indexing,,,,,Stored Values,
,Light of Salvation,Valley,Artifact,Mainhand Sword,Golden Sword,Valley Overworld,,,,,,,,"5.0 Attack Damage
1.6 Attack Speed",Unbreakable,"Fire Aspect 1
Knockback 1",,Efficiency 2,,Radiant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.6,,,,,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,12,2,,,,12,2
,Loci Offering,Valley,Artifact,Mainhand Sword,Stone Sword,Valley Overworld,,,Tempo 1,,,,,"6.0 Attack Damage
1.6 Attack Speed",Unbreaking 3,"Slayer 1
Thunder Aspect 1",,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1.6,,,,3,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2,,,,12,2
,Lodestar Boots,Valley,Artifact,Boots,Leather Boots,Valley Overworld,4,,,"Fire Prot. 2
Feather Falling 2",,,+20% Attack Speed,,Unbreaking 5,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,+20%,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2,,,+20%,12,2
,Shaman's Quiver,Valley,Artifact,Misc,Green Shulker Box,Valley Overworld,,,,,,,,,,,,,,,,Persistence,Stores arrows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,12,2,,,,12,2
,Visage of the Lost,Valley,Artifact,Helmet,Leather Helmet,Valley Overworld,3,,,Projectile Prot. 3,,,+12% Proj Damage,,Unbreaking 4,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,+12%,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2,,,,12,2
,Warforged Crossbow,Valley,Artifact,Crossbow,Crossbow,Valley Overworld,,,,,,,,"14.0 Proj Damage
1.0 Proj Speed",Unbreaking 3,,Piercing 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,1.0,,3,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2,,,,12,2
,Abomination Splinter,Valley,Rare,Mainhand Sword,Stone Sword,Valley Overworld,,,,Blast Prot. 2,,,,"6.0 Attack Damage
1.6 Attack Speed",Unbreaking 3,"Fire Aspect 1
Knockback 1",,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,6.0,1.6,,,,3,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2,,,,11,2
,Aphelion's Gift,Valley,Rare,Crossbow,Crossbow,Valley Overworld,,,,Projectile Prot. 2,,,,"16.0 Proj Damage
1.0 Proj Speed",Unbreaking 1,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,1.0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2,,,,11,2
,Axtan Blade,Valley,Rare,Mainhand Sword,Stone Sword,Valley Overworld,,,,Magic Prot. 2,,,,"5.0 Attack Damage
1.6 Attack Speed",Unbreaking 4,Smite 2,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.6,,,,4,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2,,,,11,2
,Axtan Greaves,Valley,Rare,Leggings,Leather Leggings,Valley Overworld,,5.5,,,,,,,Mending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2,,,,11,2
,Bandit's Dagger,Valley,Rare,Mainhand Sword,Stone Sword,Valley Overworld,,,,,,,,"6.5 Attack Damage
1.6 Attack Speed",Mending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,1.6,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2,,,,11,2
,Blackroot's Path,Valley,Rare,Boots,Leather Boots,Valley Overworld,3,,,Melee Prot. 2,,,,,Unbreaking 3,,,,Abyssal 1,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2,,,,11,2
,Cavewalker Scythe,Valley,Rare,Scythe,Stone Hoe,Valley Overworld,,,,Fire Prot. 2,,,,"5.5 Attack Damage
2.0 Attack Speed",Unbreaking 4,"Fire Aspect 5
Knockback 1",,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,5.5,2.0,,,,4,,,,,,,5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2,,,,11,2
,Crest of Highwatch,Valley,Rare,Helmet,Player Head,Valley Overworld,,3,,Melee Prot. 2,,+5% Speed,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,+5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2,,+5%,,11,2
,Grovewalker Sandals,Valley,Rare,Boots,Leather Boots,Valley Overworld,,4,,,,,"+5% Attack Damage
+5% Magic Damage",,Unbreaking 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+5%,,,+5%,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2,,,,11,2
,Hawktree Bark,Valley,Rare,Offhand Sword,Wooden Sword,Valley Overworld,,4,,Feather Falling 3,,,,,Unbreakable,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2,,,,11,2
,Jaguartooth Cleaver,Valley,Rare,Axe,Stone Axe,Valley Overworld,,,,,,+12% Speed,,"9.5 Attack Damage
1.2 Attack Speed",Unbreaking 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+12%,,,,,,,,,,,,,9.5,1.2,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2,,+12%,,11,2
,Jaguartooth Pickaxe,Valley,Rare,Pickaxe,Stone Pickaxe,Valley Overworld,,,,,,,,"3.0 Attack Damage
1.2 Attack Speed",Unbreaking 1,,,Efficiency 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2,,,,11,2
,Jungle's Resilience,Valley,Rare,Chestplate,Leather Chestplate,Valley Overworld,4,,Shielding 1,,,,,,Unbreaking 4,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2,,,,11,2
,Keeper of the Jungle,Valley,Rare,Offhand Shield,Shield,Valley Overworld,3.5,,,,,,,,Unbreaking 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2,,,,11,2
,Kismet's Blessing,Valley,Rare,Helmet,Leather Helmet,Valley Overworld,,1.5,Tempo 1,,+2 Max Health,,,,Unbreaking 3,,,,,,,,,,,,,,,,,1,,,,,,,,+2,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2,10,,,11,2
,Molten Fury,Valley,Rare,Wand,Blaze Rod,Valley Overworld,,,,,,,,"+40% Spell Power
2.5 Attack Damage
4.0 Attack Speed",,"Fire Aspect 5
Knockback 3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+40%,2.5,4.0,,,,,,,,,,,5,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2,,,,11,2
,Narsen's Will,Valley,Rare,Bow,Bow,Valley Overworld,,,,,,,,"14.0 Proj Damage
1.2 Proj Speed",Unbreaking 1,,Punch 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,1.2,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2,,,,11,2
,Soulvenom Dagger,Valley,Rare,Offhand Sword,Golden Sword,Valley Overworld,,1.5,,Projectile Prot. 2,-2 Max Health,+10% Speed,+30% Attack Damage,,Unbreakable,,,,,,,,,,,,,,,,,,,,2,,,,,-2,,,,,,,+10%,,,+30%,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2,-10,+10%,,11,2
,Tidewalker Rags,Valley,Rare,Leggings,Leather Leggings,Valley Overworld,,4,,Fire Prot. 2,,,,,Unbreaking 3,,,,Depth Strider 3,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,11,2,,,,11,2
,Veilguard,Valley,Rare,Chestplate,Leather Chestplate,Valley Overworld,,7,,,-2 Max Health,+5% Speed,,,Unbreaking 3,,,,,,,,,,,,,,,,,,,,,,,,,-2,,,,,,,+5%,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2,-10,+5%,,11,2
,Blackroot's Fury,Valley,Uncommon,Wand,Stick,Valley Overworld,,,,,,,,"+30% Spell Power
4.5 Attack Damage
4.0 Attack Speed",Unbreakable,Knockback 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+30%,4.5,4.0,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,,,,7,2
,Blazing Soul,Valley,Uncommon,Offhand,Blaze Powder,Valley Overworld,,,,Fire Prot. 1,,+15% Speed,"+15% Attack Damage
+5% Magic Damage",,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,+15%,,,+15%,,,+5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,,+15%,,7,2
,Blighted Scythe,Valley,Uncommon,Scythe,Stone Hoe,Valley Overworld,,,,,,,,"3.5 Attack Damage
2.0 Attack Speed",Unbreaking 2,"Fire Aspect 1
Knockback 1
Looting 3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,2.0,,,,2,,,,,,,1,,,1,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,,,,7,2
,Chitin Helmet,Valley,Uncommon,Helmet,Leather Helmet,Valley Overworld,4,,,Blast Prot. 1,,,,,Unbreaking 2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,,,,7,2
,Civit Dagger,Valley,Uncommon,Mainhand Sword,Stone Sword,Valley Overworld,,,,,,,,"5.5 Attack Damage
1.6 Attack Speed",Unbreaking 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,1.6,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,,,,7,2
,Coffee Cat Cafe Plushie,Valley,Uncommon,Helmet,Player Head,Valley Overworld,,1.5,,Fire Prot. 2,+2 Max Health,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,+2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,10,,,7,2
,Completely Normal Sword,Valley,Uncommon,Mainhand Sword,Stone Sword,Valley Overworld,,,,,,,,"5.0 Attack Damage
1.6 Attack Speed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,,,,7,2
,Cracked Blade de Vie,Valley,Uncommon,Mainhand Sword,Stone Sword,Valley Overworld,,,,,Regen 1,,,"5.0 Attack Damage
1.6 Attack Speed",Unbreaking 2,Knockback 1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,5.0,1.6,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,,,,7,2
,Craft Beer,Valley,Uncommon,Consumable,Potion,Valley Overworld,,,,,,,,,,,,Infinity,,,,,Infinite Nausea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,,,,7,2
,Cursed Pick,Valley,Uncommon,Pickaxe,Golden Pickaxe,Valley Overworld,,,,,,,,"2.0 Attack Damage
1.2 Attack Speed",,,,Fortune 4,,,Vanishing 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,7,2,,,,7,2
,Cutting Breeze,Valley,Uncommon,Mainhand Sword,Wooden Sword,Valley Overworld,,,,,,7.5% Speed,,"5.0 Attack Damage
1.6 Attack Speed",Unbreaking 2,Sweeping Edge 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5%,,,,,,,,,,,,,5.0,1.6,,,,2,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,,7.5%,,7,2
,Drowned Shellmet,Valley,Uncommon,Helmet,Turtle Helmet,Valley Overworld,,3,,,,,,,,,,,"Respiration 1
Aqua Affinity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,7,2,,,,7,2
,Ensanguined Flower,Valley,Uncommon,Wand,Allium,Valley Overworld,3,,,,,,,"+30% Spell Power
4.0 Attack Damage
4.0 Attack Speed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+30%,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,,,,7,2
,Everflowing Carrot,Valley,Uncommon,Consumable,Carrot,Valley Overworld,,,,,,,,,,,,Infinity,,,,,Infinite carrot!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,,,,7,2
,Feathered Vest,Valley,Uncommon,Chestplate,Leather Chestplate,Valley Overworld,,2.5,,Feather Falling 2,,,,,Unbreaking 2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,,,,7,2
,Fortune Finder,Valley,Uncommon,Mainhand,Compass,Valley Overworld,,,,,,+5% Speed,,,,Looting 3,,Fortune 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,,+5%,,7,2
,Groovy Chakram,Valley,Uncommon,Mainhand,Music Disc,Valley Overworld,,3,,Magic Prot. 1,,,,"4.0 Attack Damage
4.0 Attack Speed",,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,,,,7,2
,Infernal Robe,Valley,Uncommon,Leggings,Leather Leggings,Valley Overworld,2,,,Fire Prot. 3,,,+15% Attack Damage,,Unbreaking 1,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,+15%,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,,,,7,2
,Jaguar Pelt,Valley,Uncommon,Chestplate,Leather Chestplate,Valley Overworld,,2.5,,Projectile Prot. 1,,+10% Speed,,,Unbreaking 1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,+10%,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,,+10%,,7,2
,Lacuna,Valley,Uncommon,Trident,Trident,Valley Overworld,,,,,,,,"9.0 Attack Damage
1.3 Attack Speed",Unbreaking 2,,,,Riptide 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,1.3,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,7,2,,,,7,2
,Lingering Flame,Valley,Uncommon,Mainhand Sword,Golden Sword,Valley Overworld,,,,,,,,"5.0 Attack Damage
1.6 Attack Speed",Unbreaking 2,"Fire Aspect 5
Knockback 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.6,,,,2,,,,,,,5,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,,,,7,2
,Magic Fish,Valley,Uncommon,Offhand,Pufferfish,Valley Overworld,,,,,,,,,,,,,Gills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,,,,7,2
,Mistleaf Bracer,Valley,Uncommon,Offhand,Spruce Leaves,Valley Overworld,,1.5,,Magic Prot. 1,,+10% Speed,+10% Proj Damage,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,+10%,,,,,,,+10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,,+10%,,7,2
,Monsoon,Valley,Uncommon,Crossbow,Crossbow,Valley Overworld,,,,,,+10% Speed,,"10.0 Proj Damage
1.0 Proj Speed",Unbreaking 1,,"Quick Charge 1
Piercing 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+10%,,,,,,,,,,,,,,,10.0,1.0,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,,+10%,,7,2
,Oncoming Tide,Valley,Uncommon,Bow,Bow,Valley Overworld,,,,,,+7% Speed,,"8.0 Proj Damage
1.0 Proj Speed",Mending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+7%,,,,,,,,,,,,,,,8.0,1.0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,,+7%,,7,2
,Oncoming Wave,Valley,Uncommon,Boots,Leather Boots,Valley Overworld,,1.5,,,,+10% Speed,,,Unbreaking 1,,,,Depth Strider 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,+10%,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,7,2,,+10%,,7,2
,Plagueborne Axe,Valley,Uncommon,Axe,Wooden Axe,Valley Overworld,,,,,,,,"8.0 Attack Damage
0.8 Attack Speed",Unbreaking 3,Decay 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,0.8,,,,3,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,,,,7,2
,Ponderous Stone,Valley,Uncommon,Offhand,Clay Ball,Valley Overworld,,,,,,-20% Speed,+10.0 Knockback Res.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20%,,,,,,,,,+10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,,-20%,,7,2
,Pulsating Gold Pickaxe,Valley,Uncommon,Pickaxe,Golden Pickaxe,Valley Overworld,,,,,,,,"2.0 Attack Damage
1.2 Attack Speed","Unbreaking 3
Irreparability",,,Efficiency 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.2,,,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,,,,7,2
,Pulsating Gold Shovel,Valley,Uncommon,Shovel,Golden Shovel,Valley Overworld,,,,,,,,"2.5 Attack Damage
1.0 Attack Speed","Unbreaking 3
Irreparability",,,Efficiency 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,1.0,,,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,,,,7,2
,Raider's Charm,Valley,Uncommon,Offhand,Rabbit Foot,Valley Overworld,,,,"Melee Prot. 2
Projectile Prot. 2",,+12% Speed,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,+12%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,,+12%,,7,2
,Razorblade Chocolate,Valley,Uncommon,Mainhand,Cookie,Valley Overworld,,,,,,,+1 Thorns,"2.5 Attack Damage
4.0 Attack Speed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1,,,2.5,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,,,,7,2
,Spellready Buckler,Valley,Uncommon,Mainhand,Shield,Valley Overworld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,,,,7,2
,Spyglass,Valley,Uncommon,Mainhand,End Rod,Valley Overworld,,,,,,-100% Speed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,,-100%,,7,2
,Stalwart Idol,Valley,Uncommon,Offhand,Totem of Undying,Valley Overworld,1,1,,,+2 Max Health,,+2.5 Knockback Res.,,,,,,,,,,,,,,,,,,,,,,,,,,,+2,,,,,,,,,,,,,,,,+2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,10,,,7,2
,Survivalist's Compass,Valley,Uncommon,Mainhand,Compass,Valley Overworld,,,,,Regen 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,,,,7,2
,Telescope,Valley,Uncommon,Offhand,End Rod,Valley Overworld,,,,,,-100% Speed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,,-100%,,7,2
,Tome of Madness,Valley,Uncommon,Mainhand,Book,Valley Overworld,,,,,,,,"11.5 Attack Damage
0.5 Attack Speed",,"Smite 1
Knockback 1
Chaotic 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5,0.5,,,,,,,,1,,,,,,1,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,,,,7,2
